crop_name,dataset,class_label,voxel_size,translation,shape
234,jrc_cos7-1a,echrom,[2.0;2.0;2.0],[2760.0;5160.0;10670.0],[400;400;400]
234,jrc_cos7-1a,mito_ribo,[2.0;2.0;2.0],[2760.0;5160.0;10670.0],[400;400;400]
234,jrc_cos7-1a,er_mem_all,[2.0;2.0;2.0],[2760.0;5160.0;10670.0],[400;400;400]
234,jrc_cos7-1a,ecs,[2.0;2.0;2.0],[2760.0;5160.0;10670.0],[400;400;400]
234,jrc_cos7-1a,golgi_mem,[2.0;2.0;2.0],[2760.0;5160.0;10670.0],[400;400;400]
234,jrc_cos7-1a,golgi_lum,[2.0;2.0;2.0],[2760.0;5160.0;10670.0],[400;400;400]
234,jrc_cos7-1a,np_in,[2.0;2.0;2.0],[2760.0;5160.0;10670.0],[400;400;400]
234,jrc_cos7-1a,endo_lum,[2.0;2.0;2.0],[2760.0;5160.0;10670.0],[400;400;400]
234,jrc_cos7-1a,endo_mem,[2.0;2.0;2.0],[2760.0;5160.0;10670.0],[400;400;400]
234,jrc_cos7-1a,mt,[2.0;2.0;2.0],[2760.0;5160.0;10670.0],[400;400;400]
234,jrc_cos7-1a,perox_lum,[2.0;2.0;2.0],[2760.0;5160.0;10670.0],[400;400;400]
234,jrc_cos7-1a,lyso_lum,[2.0;2.0;2.0],[2760.0;5160.0;10670.0],[400;400;400]
234,jrc_cos7-1a,lyso_mem,[2.0;2.0;2.0],[2760.0;5160.0;10670.0],[400;400;400]
234,jrc_cos7-1a,ves,[2.0;2.0;2.0],[2760.0;5160.0;10670.0],[400;400;400]
234,jrc_cos7-1a,np,[2.0;2.0;2.0],[2760.0;5160.0;10670.0],[400;400;400]
234,jrc_cos7-1a,mt_in,[2.0;2.0;2.0],[2760.0;5160.0;10670.0],[400;400;400]
234,jrc_cos7-1a,perox,[2.0;2.0;2.0],[2760.0;5160.0;10670.0],[400;400;400]
234,jrc_cos7-1a,nucpl,[2.0;2.0;2.0],[2760.0;5160.0;10670.0],[400;400;400]
234,jrc_cos7-1a,ne_lum,[2.0;2.0;2.0],[2760.0;5160.0;10670.0],[400;400;400]
234,jrc_cos7-1a,mito_mem,[2.0;2.0;2.0],[2760.0;5160.0;10670.0],[400;400;400]
234,jrc_cos7-1a,ves_mem,[2.0;2.0;2.0],[2760.0;5160.0;10670.0],[400;400;400]
234,jrc_cos7-1a,mito_lum,[2.0;2.0;2.0],[2760.0;5160.0;10670.0],[400;400;400]
234,jrc_cos7-1a,ne_mem,[2.0;2.0;2.0],[2760.0;5160.0;10670.0],[400;400;400]
234,jrc_cos7-1a,ld,[2.0;2.0;2.0],[2760.0;5160.0;10670.0],[400;400;400]
234,jrc_cos7-1a,ne,[2.0;2.0;2.0],[2760.0;5160.0;10670.0],[400;400;400]
234,jrc_cos7-1a,perox_mem,[2.0;2.0;2.0],[2760.0;5160.0;10670.0],[400;400;400]
234,jrc_cos7-1a,hchrom,[2.0;2.0;2.0],[2760.0;5160.0;10670.0],[400;400;400]
234,jrc_cos7-1a,eres,[2.0;2.0;2.0],[2760.0;5160.0;10670.0],[400;400;400]
234,jrc_cos7-1a,golgi,[2.0;2.0;2.0],[2760.0;5160.0;10670.0],[400;400;400]
234,jrc_cos7-1a,np_out,[2.0;2.0;2.0],[2760.0;5160.0;10670.0],[400;400;400]
234,jrc_cos7-1a,pm,[2.0;2.0;2.0],[2760.0;5160.0;10670.0],[400;400;400]
234,jrc_cos7-1a,er_lum,[2.0;2.0;2.0],[2760.0;5160.0;10670.0],[400;400;400]
234,jrc_cos7-1a,endo,[2.0;2.0;2.0],[2760.0;5160.0;10670.0],[400;400;400]
234,jrc_cos7-1a,ne_mem_all,[2.0;2.0;2.0],[2760.0;5160.0;10670.0],[400;400;400]
234,jrc_cos7-1a,mito,[2.0;2.0;2.0],[2760.0;5160.0;10670.0],[400;400;400]
234,jrc_cos7-1a,er,[2.0;2.0;2.0],[2760.0;5160.0;10670.0],[400;400;400]
234,jrc_cos7-1a,ves_lum,[2.0;2.0;2.0],[2760.0;5160.0;10670.0],[400;400;400]
234,jrc_cos7-1a,er_mem,[2.0;2.0;2.0],[2760.0;5160.0;10670.0],[400;400;400]
234,jrc_cos7-1a,eres_mem,[2.0;2.0;2.0],[2760.0;5160.0;10670.0],[400;400;400]
234,jrc_cos7-1a,lyso,[2.0;2.0;2.0],[2760.0;5160.0;10670.0],[400;400;400]
234,jrc_cos7-1a,cyto,[2.0;2.0;2.0],[2760.0;5160.0;10670.0],[400;400;400]
234,jrc_cos7-1a,mt_out,[2.0;2.0;2.0],[2760.0;5160.0;10670.0],[400;400;400]
234,jrc_cos7-1a,ld_mem,[2.0;2.0;2.0],[2760.0;5160.0;10670.0],[400;400;400]
234,jrc_cos7-1a,nuc,[2.0;2.0;2.0],[2760.0;5160.0;10670.0],[400;400;400]
234,jrc_cos7-1a,chrom,[2.0;2.0;2.0],[2760.0;5160.0;10670.0],[400;400;400]
234,jrc_cos7-1a,ld_lum,[2.0;2.0;2.0],[2760.0;5160.0;10670.0],[400;400;400]
234,jrc_cos7-1a,eres_lum,[2.0;2.0;2.0],[2760.0;5160.0;10670.0],[400;400;400]
234,jrc_cos7-1a,cell,[2.0;2.0;2.0],[2760.0;5160.0;10670.0],[400;400;400]
236,jrc_cos7-1a,echrom,[2.0;2.0;2.0],[10.0;5690.0;11750.0],[400;400;400]
236,jrc_cos7-1a,mito_ribo,[2.0;2.0;2.0],[10.0;5690.0;11750.0],[400;400;400]
236,jrc_cos7-1a,er_mem_all,[2.0;2.0;2.0],[10.0;5690.0;11750.0],[400;400;400]
236,jrc_cos7-1a,ecs,[2.0;2.0;2.0],[10.0;5690.0;11750.0],[400;400;400]
236,jrc_cos7-1a,golgi_mem,[2.0;2.0;2.0],[10.0;5690.0;11750.0],[400;400;400]
236,jrc_cos7-1a,golgi_lum,[2.0;2.0;2.0],[10.0;5690.0;11750.0],[400;400;400]
236,jrc_cos7-1a,np_in,[2.0;2.0;2.0],[10.0;5690.0;11750.0],[400;400;400]
236,jrc_cos7-1a,endo_lum,[2.0;2.0;2.0],[10.0;5690.0;11750.0],[400;400;400]
236,jrc_cos7-1a,endo_mem,[2.0;2.0;2.0],[10.0;5690.0;11750.0],[400;400;400]
236,jrc_cos7-1a,mt,[2.0;2.0;2.0],[10.0;5690.0;11750.0],[400;400;400]
236,jrc_cos7-1a,perox_lum,[2.0;2.0;2.0],[10.0;5690.0;11750.0],[400;400;400]
236,jrc_cos7-1a,lyso_lum,[2.0;2.0;2.0],[10.0;5690.0;11750.0],[400;400;400]
236,jrc_cos7-1a,lyso_mem,[2.0;2.0;2.0],[10.0;5690.0;11750.0],[400;400;400]
236,jrc_cos7-1a,ves,[2.0;2.0;2.0],[10.0;5690.0;11750.0],[400;400;400]
236,jrc_cos7-1a,np,[2.0;2.0;2.0],[10.0;5690.0;11750.0],[400;400;400]
236,jrc_cos7-1a,mt_in,[2.0;2.0;2.0],[10.0;5690.0;11750.0],[400;400;400]
236,jrc_cos7-1a,perox,[2.0;2.0;2.0],[10.0;5690.0;11750.0],[400;400;400]
236,jrc_cos7-1a,nucpl,[2.0;2.0;2.0],[10.0;5690.0;11750.0],[400;400;400]
236,jrc_cos7-1a,ne_lum,[2.0;2.0;2.0],[10.0;5690.0;11750.0],[400;400;400]
236,jrc_cos7-1a,mito_mem,[2.0;2.0;2.0],[10.0;5690.0;11750.0],[400;400;400]
236,jrc_cos7-1a,ves_mem,[2.0;2.0;2.0],[10.0;5690.0;11750.0],[400;400;400]
236,jrc_cos7-1a,mito_lum,[2.0;2.0;2.0],[10.0;5690.0;11750.0],[400;400;400]
236,jrc_cos7-1a,ne_mem,[2.0;2.0;2.0],[10.0;5690.0;11750.0],[400;400;400]
236,jrc_cos7-1a,ld,[2.0;2.0;2.0],[10.0;5690.0;11750.0],[400;400;400]
236,jrc_cos7-1a,ne,[2.0;2.0;2.0],[10.0;5690.0;11750.0],[400;400;400]
236,jrc_cos7-1a,perox_mem,[2.0;2.0;2.0],[10.0;5690.0;11750.0],[400;400;400]
236,jrc_cos7-1a,hchrom,[2.0;2.0;2.0],[10.0;5690.0;11750.0],[400;400;400]
236,jrc_cos7-1a,eres,[2.0;2.0;2.0],[10.0;5690.0;11750.0],[400;400;400]
236,jrc_cos7-1a,golgi,[2.0;2.0;2.0],[10.0;5690.0;11750.0],[400;400;400]
236,jrc_cos7-1a,np_out,[2.0;2.0;2.0],[10.0;5690.0;11750.0],[400;400;400]
236,jrc_cos7-1a,pm,[2.0;2.0;2.0],[10.0;5690.0;11750.0],[400;400;400]
236,jrc_cos7-1a,er_lum,[2.0;2.0;2.0],[10.0;5690.0;11750.0],[400;400;400]
236,jrc_cos7-1a,endo,[2.0;2.0;2.0],[10.0;5690.0;11750.0],[400;400;400]
236,jrc_cos7-1a,ne_mem_all,[2.0;2.0;2.0],[10.0;5690.0;11750.0],[400;400;400]
236,jrc_cos7-1a,mito,[2.0;2.0;2.0],[10.0;5690.0;11750.0],[400;400;400]
236,jrc_cos7-1a,er,[2.0;2.0;2.0],[10.0;5690.0;11750.0],[400;400;400]
236,jrc_cos7-1a,ves_lum,[2.0;2.0;2.0],[10.0;5690.0;11750.0],[400;400;400]
236,jrc_cos7-1a,er_mem,[2.0;2.0;2.0],[10.0;5690.0;11750.0],[400;400;400]
236,jrc_cos7-1a,eres_mem,[2.0;2.0;2.0],[10.0;5690.0;11750.0],[400;400;400]
236,jrc_cos7-1a,lyso,[2.0;2.0;2.0],[10.0;5690.0;11750.0],[400;400;400]
236,jrc_cos7-1a,cyto,[2.0;2.0;2.0],[10.0;5690.0;11750.0],[400;400;400]
236,jrc_cos7-1a,mt_out,[2.0;2.0;2.0],[10.0;5690.0;11750.0],[400;400;400]
236,jrc_cos7-1a,ld_mem,[2.0;2.0;2.0],[10.0;5690.0;11750.0],[400;400;400]
236,jrc_cos7-1a,nuc,[2.0;2.0;2.0],[10.0;5690.0;11750.0],[400;400;400]
236,jrc_cos7-1a,chrom,[2.0;2.0;2.0],[10.0;5690.0;11750.0],[400;400;400]
236,jrc_cos7-1a,ld_lum,[2.0;2.0;2.0],[10.0;5690.0;11750.0],[400;400;400]
236,jrc_cos7-1a,eres_lum,[2.0;2.0;2.0],[10.0;5690.0;11750.0],[400;400;400]
236,jrc_cos7-1a,cell,[2.0;2.0;2.0],[10.0;5690.0;11750.0],[400;400;400]
237,jrc_cos7-1a,echrom,[2.0;2.0;2.0],[2856.0;4942.0;10288.0],[385;400;400]
237,jrc_cos7-1a,mito_ribo,[2.0;2.0;2.0],[2856.0;4942.0;10288.0],[385;400;400]
237,jrc_cos7-1a,er_mem_all,[2.0;2.0;2.0],[2856.0;4942.0;10288.0],[385;400;400]
237,jrc_cos7-1a,ecs,[2.0;2.0;2.0],[2856.0;4942.0;10288.0],[385;400;400]
237,jrc_cos7-1a,golgi_mem,[2.0;2.0;2.0],[2856.0;4942.0;10288.0],[385;400;400]
237,jrc_cos7-1a,golgi_lum,[2.0;2.0;2.0],[2856.0;4942.0;10288.0],[385;400;400]
237,jrc_cos7-1a,np_in,[2.0;2.0;2.0],[2856.0;4942.0;10288.0],[385;400;400]
237,jrc_cos7-1a,endo_lum,[2.0;2.0;2.0],[2856.0;4942.0;10288.0],[385;400;400]
237,jrc_cos7-1a,endo_mem,[2.0;2.0;2.0],[2856.0;4942.0;10288.0],[385;400;400]
237,jrc_cos7-1a,mt,[2.0;2.0;2.0],[2856.0;4942.0;10288.0],[385;400;400]
237,jrc_cos7-1a,perox_lum,[2.0;2.0;2.0],[2856.0;4942.0;10288.0],[385;400;400]
237,jrc_cos7-1a,lyso_lum,[2.0;2.0;2.0],[2856.0;4942.0;10288.0],[385;400;400]
237,jrc_cos7-1a,lyso_mem,[2.0;2.0;2.0],[2856.0;4942.0;10288.0],[385;400;400]
237,jrc_cos7-1a,ves,[2.0;2.0;2.0],[2856.0;4942.0;10288.0],[385;400;400]
237,jrc_cos7-1a,np,[2.0;2.0;2.0],[2856.0;4942.0;10288.0],[385;400;400]
237,jrc_cos7-1a,mt_in,[2.0;2.0;2.0],[2856.0;4942.0;10288.0],[385;400;400]
237,jrc_cos7-1a,perox,[2.0;2.0;2.0],[2856.0;4942.0;10288.0],[385;400;400]
237,jrc_cos7-1a,nucpl,[2.0;2.0;2.0],[2856.0;4942.0;10288.0],[385;400;400]
237,jrc_cos7-1a,ne_lum,[2.0;2.0;2.0],[2856.0;4942.0;10288.0],[385;400;400]
237,jrc_cos7-1a,mito_mem,[2.0;2.0;2.0],[2856.0;4942.0;10288.0],[385;400;400]
237,jrc_cos7-1a,ves_mem,[2.0;2.0;2.0],[2856.0;4942.0;10288.0],[385;400;400]
237,jrc_cos7-1a,mito_lum,[2.0;2.0;2.0],[2856.0;4942.0;10288.0],[385;400;400]
237,jrc_cos7-1a,ne_mem,[2.0;2.0;2.0],[2856.0;4942.0;10288.0],[385;400;400]
237,jrc_cos7-1a,ld,[2.0;2.0;2.0],[2856.0;4942.0;10288.0],[385;400;400]
237,jrc_cos7-1a,ne,[2.0;2.0;2.0],[2856.0;4942.0;10288.0],[385;400;400]
237,jrc_cos7-1a,perox_mem,[2.0;2.0;2.0],[2856.0;4942.0;10288.0],[385;400;400]
237,jrc_cos7-1a,hchrom,[2.0;2.0;2.0],[2856.0;4942.0;10288.0],[385;400;400]
237,jrc_cos7-1a,eres,[2.0;2.0;2.0],[2856.0;4942.0;10288.0],[385;400;400]
237,jrc_cos7-1a,golgi,[2.0;2.0;2.0],[2856.0;4942.0;10288.0],[385;400;400]
237,jrc_cos7-1a,np_out,[2.0;2.0;2.0],[2856.0;4942.0;10288.0],[385;400;400]
237,jrc_cos7-1a,pm,[2.0;2.0;2.0],[2856.0;4942.0;10288.0],[385;400;400]
237,jrc_cos7-1a,er_lum,[2.0;2.0;2.0],[2856.0;4942.0;10288.0],[385;400;400]
237,jrc_cos7-1a,endo,[2.0;2.0;2.0],[2856.0;4942.0;10288.0],[385;400;400]
237,jrc_cos7-1a,ne_mem_all,[2.0;2.0;2.0],[2856.0;4942.0;10288.0],[385;400;400]
237,jrc_cos7-1a,mito,[2.0;2.0;2.0],[2856.0;4942.0;10288.0],[385;400;400]
237,jrc_cos7-1a,er,[2.0;2.0;2.0],[2856.0;4942.0;10288.0],[385;400;400]
237,jrc_cos7-1a,ves_lum,[2.0;2.0;2.0],[2856.0;4942.0;10288.0],[385;400;400]
237,jrc_cos7-1a,er_mem,[2.0;2.0;2.0],[2856.0;4942.0;10288.0],[385;400;400]
237,jrc_cos7-1a,eres_mem,[2.0;2.0;2.0],[2856.0;4942.0;10288.0],[385;400;400]
237,jrc_cos7-1a,lyso,[2.0;2.0;2.0],[2856.0;4942.0;10288.0],[385;400;400]
237,jrc_cos7-1a,cyto,[2.0;2.0;2.0],[2856.0;4942.0;10288.0],[385;400;400]
237,jrc_cos7-1a,mt_out,[2.0;2.0;2.0],[2856.0;4942.0;10288.0],[385;400;400]
237,jrc_cos7-1a,ld_mem,[2.0;2.0;2.0],[2856.0;4942.0;10288.0],[385;400;400]
237,jrc_cos7-1a,nuc,[2.0;2.0;2.0],[2856.0;4942.0;10288.0],[385;400;400]
237,jrc_cos7-1a,chrom,[2.0;2.0;2.0],[2856.0;4942.0;10288.0],[385;400;400]
237,jrc_cos7-1a,ld_lum,[2.0;2.0;2.0],[2856.0;4942.0;10288.0],[385;400;400]
237,jrc_cos7-1a,eres_lum,[2.0;2.0;2.0],[2856.0;4942.0;10288.0],[385;400;400]
237,jrc_cos7-1a,cell,[2.0;2.0;2.0],[2856.0;4942.0;10288.0],[385;400;400]
239,jrc_cos7-1a,echrom,[2.0;2.0;2.0],[3028.0;4874.0;9364.0],[299;400;400]
239,jrc_cos7-1a,mito_ribo,[2.0;2.0;2.0],[3028.0;4874.0;9364.0],[299;400;400]
239,jrc_cos7-1a,er_mem_all,[2.0;2.0;2.0],[3028.0;4874.0;9364.0],[299;400;400]
239,jrc_cos7-1a,ecs,[2.0;2.0;2.0],[3028.0;4874.0;9364.0],[299;400;400]
239,jrc_cos7-1a,golgi_mem,[2.0;2.0;2.0],[3028.0;4874.0;9364.0],[299;400;400]
239,jrc_cos7-1a,golgi_lum,[2.0;2.0;2.0],[3028.0;4874.0;9364.0],[299;400;400]
239,jrc_cos7-1a,np_in,[2.0;2.0;2.0],[3028.0;4874.0;9364.0],[299;400;400]
239,jrc_cos7-1a,endo_lum,[2.0;2.0;2.0],[3028.0;4874.0;9364.0],[299;400;400]
239,jrc_cos7-1a,endo_mem,[2.0;2.0;2.0],[3028.0;4874.0;9364.0],[299;400;400]
239,jrc_cos7-1a,mt,[2.0;2.0;2.0],[3028.0;4874.0;9364.0],[299;400;400]
239,jrc_cos7-1a,perox_lum,[2.0;2.0;2.0],[3028.0;4874.0;9364.0],[299;400;400]
239,jrc_cos7-1a,lyso_lum,[2.0;2.0;2.0],[3028.0;4874.0;9364.0],[299;400;400]
239,jrc_cos7-1a,lyso_mem,[2.0;2.0;2.0],[3028.0;4874.0;9364.0],[299;400;400]
239,jrc_cos7-1a,ves,[2.0;2.0;2.0],[3028.0;4874.0;9364.0],[299;400;400]
239,jrc_cos7-1a,np,[2.0;2.0;2.0],[3028.0;4874.0;9364.0],[299;400;400]
239,jrc_cos7-1a,mt_in,[2.0;2.0;2.0],[3028.0;4874.0;9364.0],[299;400;400]
239,jrc_cos7-1a,perox,[2.0;2.0;2.0],[3028.0;4874.0;9364.0],[299;400;400]
239,jrc_cos7-1a,nucpl,[2.0;2.0;2.0],[3028.0;4874.0;9364.0],[299;400;400]
239,jrc_cos7-1a,ne_lum,[2.0;2.0;2.0],[3028.0;4874.0;9364.0],[299;400;400]
239,jrc_cos7-1a,mito_mem,[2.0;2.0;2.0],[3028.0;4874.0;9364.0],[299;400;400]
239,jrc_cos7-1a,ves_mem,[2.0;2.0;2.0],[3028.0;4874.0;9364.0],[299;400;400]
239,jrc_cos7-1a,mito_lum,[2.0;2.0;2.0],[3028.0;4874.0;9364.0],[299;400;400]
239,jrc_cos7-1a,ne_mem,[2.0;2.0;2.0],[3028.0;4874.0;9364.0],[299;400;400]
239,jrc_cos7-1a,ld,[2.0;2.0;2.0],[3028.0;4874.0;9364.0],[299;400;400]
239,jrc_cos7-1a,ne,[2.0;2.0;2.0],[3028.0;4874.0;9364.0],[299;400;400]
239,jrc_cos7-1a,perox_mem,[2.0;2.0;2.0],[3028.0;4874.0;9364.0],[299;400;400]
239,jrc_cos7-1a,hchrom,[2.0;2.0;2.0],[3028.0;4874.0;9364.0],[299;400;400]
239,jrc_cos7-1a,eres,[2.0;2.0;2.0],[3028.0;4874.0;9364.0],[299;400;400]
239,jrc_cos7-1a,golgi,[2.0;2.0;2.0],[3028.0;4874.0;9364.0],[299;400;400]
239,jrc_cos7-1a,np_out,[2.0;2.0;2.0],[3028.0;4874.0;9364.0],[299;400;400]
239,jrc_cos7-1a,pm,[2.0;2.0;2.0],[3028.0;4874.0;9364.0],[299;400;400]
239,jrc_cos7-1a,er_lum,[2.0;2.0;2.0],[3028.0;4874.0;9364.0],[299;400;400]
239,jrc_cos7-1a,endo,[2.0;2.0;2.0],[3028.0;4874.0;9364.0],[299;400;400]
239,jrc_cos7-1a,ne_mem_all,[2.0;2.0;2.0],[3028.0;4874.0;9364.0],[299;400;400]
239,jrc_cos7-1a,mito,[2.0;2.0;2.0],[3028.0;4874.0;9364.0],[299;400;400]
239,jrc_cos7-1a,er,[2.0;2.0;2.0],[3028.0;4874.0;9364.0],[299;400;400]
239,jrc_cos7-1a,ves_lum,[2.0;2.0;2.0],[3028.0;4874.0;9364.0],[299;400;400]
239,jrc_cos7-1a,er_mem,[2.0;2.0;2.0],[3028.0;4874.0;9364.0],[299;400;400]
239,jrc_cos7-1a,eres_mem,[2.0;2.0;2.0],[3028.0;4874.0;9364.0],[299;400;400]
239,jrc_cos7-1a,lyso,[2.0;2.0;2.0],[3028.0;4874.0;9364.0],[299;400;400]
239,jrc_cos7-1a,cyto,[2.0;2.0;2.0],[3028.0;4874.0;9364.0],[299;400;400]
239,jrc_cos7-1a,mt_out,[2.0;2.0;2.0],[3028.0;4874.0;9364.0],[299;400;400]
239,jrc_cos7-1a,ld_mem,[2.0;2.0;2.0],[3028.0;4874.0;9364.0],[299;400;400]
239,jrc_cos7-1a,nuc,[2.0;2.0;2.0],[3028.0;4874.0;9364.0],[299;400;400]
239,jrc_cos7-1a,chrom,[2.0;2.0;2.0],[3028.0;4874.0;9364.0],[299;400;400]
239,jrc_cos7-1a,ld_lum,[2.0;2.0;2.0],[3028.0;4874.0;9364.0],[299;400;400]
239,jrc_cos7-1a,eres_lum,[2.0;2.0;2.0],[3028.0;4874.0;9364.0],[299;400;400]
239,jrc_cos7-1a,cell,[2.0;2.0;2.0],[3028.0;4874.0;9364.0],[299;400;400]
243,jrc_cos7-1a,echrom,[2.0;2.0;2.0],[2.0;1556.0;9000.0],[400;400;400]
243,jrc_cos7-1a,mito_ribo,[2.0;2.0;2.0],[2.0;1556.0;9000.0],[400;400;400]
243,jrc_cos7-1a,er_mem_all,[2.0;2.0;2.0],[2.0;1556.0;9000.0],[400;400;400]
243,jrc_cos7-1a,ecs,[2.0;2.0;2.0],[2.0;1556.0;9000.0],[400;400;400]
243,jrc_cos7-1a,golgi_mem,[2.0;2.0;2.0],[2.0;1556.0;9000.0],[400;400;400]
243,jrc_cos7-1a,golgi_lum,[2.0;2.0;2.0],[2.0;1556.0;9000.0],[400;400;400]
243,jrc_cos7-1a,np_in,[2.0;2.0;2.0],[2.0;1556.0;9000.0],[400;400;400]
243,jrc_cos7-1a,endo_lum,[2.0;2.0;2.0],[2.0;1556.0;9000.0],[400;400;400]
243,jrc_cos7-1a,endo_mem,[2.0;2.0;2.0],[2.0;1556.0;9000.0],[400;400;400]
243,jrc_cos7-1a,mt,[2.0;2.0;2.0],[2.0;1556.0;9000.0],[400;400;400]
243,jrc_cos7-1a,perox_lum,[2.0;2.0;2.0],[2.0;1556.0;9000.0],[400;400;400]
243,jrc_cos7-1a,lyso_lum,[2.0;2.0;2.0],[2.0;1556.0;9000.0],[400;400;400]
243,jrc_cos7-1a,lyso_mem,[2.0;2.0;2.0],[2.0;1556.0;9000.0],[400;400;400]
243,jrc_cos7-1a,ves,[2.0;2.0;2.0],[2.0;1556.0;9000.0],[400;400;400]
243,jrc_cos7-1a,np,[2.0;2.0;2.0],[2.0;1556.0;9000.0],[400;400;400]
243,jrc_cos7-1a,mt_in,[2.0;2.0;2.0],[2.0;1556.0;9000.0],[400;400;400]
243,jrc_cos7-1a,perox,[2.0;2.0;2.0],[2.0;1556.0;9000.0],[400;400;400]
243,jrc_cos7-1a,nucpl,[2.0;2.0;2.0],[2.0;1556.0;9000.0],[400;400;400]
243,jrc_cos7-1a,ne_lum,[2.0;2.0;2.0],[2.0;1556.0;9000.0],[400;400;400]
243,jrc_cos7-1a,mito_mem,[2.0;2.0;2.0],[2.0;1556.0;9000.0],[400;400;400]
243,jrc_cos7-1a,ves_mem,[2.0;2.0;2.0],[2.0;1556.0;9000.0],[400;400;400]
243,jrc_cos7-1a,mito_lum,[2.0;2.0;2.0],[2.0;1556.0;9000.0],[400;400;400]
243,jrc_cos7-1a,ne_mem,[2.0;2.0;2.0],[2.0;1556.0;9000.0],[400;400;400]
243,jrc_cos7-1a,ld,[2.0;2.0;2.0],[2.0;1556.0;9000.0],[400;400;400]
243,jrc_cos7-1a,ne,[2.0;2.0;2.0],[2.0;1556.0;9000.0],[400;400;400]
243,jrc_cos7-1a,perox_mem,[2.0;2.0;2.0],[2.0;1556.0;9000.0],[400;400;400]
243,jrc_cos7-1a,hchrom,[2.0;2.0;2.0],[2.0;1556.0;9000.0],[400;400;400]
243,jrc_cos7-1a,eres,[2.0;2.0;2.0],[2.0;1556.0;9000.0],[400;400;400]
243,jrc_cos7-1a,golgi,[2.0;2.0;2.0],[2.0;1556.0;9000.0],[400;400;400]
243,jrc_cos7-1a,np_out,[2.0;2.0;2.0],[2.0;1556.0;9000.0],[400;400;400]
243,jrc_cos7-1a,pm,[2.0;2.0;2.0],[2.0;1556.0;9000.0],[400;400;400]
243,jrc_cos7-1a,er_lum,[2.0;2.0;2.0],[2.0;1556.0;9000.0],[400;400;400]
243,jrc_cos7-1a,endo,[2.0;2.0;2.0],[2.0;1556.0;9000.0],[400;400;400]
243,jrc_cos7-1a,ne_mem_all,[2.0;2.0;2.0],[2.0;1556.0;9000.0],[400;400;400]
243,jrc_cos7-1a,mito,[2.0;2.0;2.0],[2.0;1556.0;9000.0],[400;400;400]
243,jrc_cos7-1a,er,[2.0;2.0;2.0],[2.0;1556.0;9000.0],[400;400;400]
243,jrc_cos7-1a,ves_lum,[2.0;2.0;2.0],[2.0;1556.0;9000.0],[400;400;400]
243,jrc_cos7-1a,er_mem,[2.0;2.0;2.0],[2.0;1556.0;9000.0],[400;400;400]
243,jrc_cos7-1a,eres_mem,[2.0;2.0;2.0],[2.0;1556.0;9000.0],[400;400;400]
243,jrc_cos7-1a,lyso,[2.0;2.0;2.0],[2.0;1556.0;9000.0],[400;400;400]
243,jrc_cos7-1a,cyto,[2.0;2.0;2.0],[2.0;1556.0;9000.0],[400;400;400]
243,jrc_cos7-1a,mt_out,[2.0;2.0;2.0],[2.0;1556.0;9000.0],[400;400;400]
243,jrc_cos7-1a,ld_mem,[2.0;2.0;2.0],[2.0;1556.0;9000.0],[400;400;400]
243,jrc_cos7-1a,nuc,[2.0;2.0;2.0],[2.0;1556.0;9000.0],[400;400;400]
243,jrc_cos7-1a,chrom,[2.0;2.0;2.0],[2.0;1556.0;9000.0],[400;400;400]
243,jrc_cos7-1a,ld_lum,[2.0;2.0;2.0],[2.0;1556.0;9000.0],[400;400;400]
243,jrc_cos7-1a,eres_lum,[2.0;2.0;2.0],[2.0;1556.0;9000.0],[400;400;400]
243,jrc_cos7-1a,cell,[2.0;2.0;2.0],[2.0;1556.0;9000.0],[400;400;400]
247,jrc_cos7-1a,echrom,[2.0;2.0;2.0],[12.0;4404.0;8604.0],[1796;1500;2400]
247,jrc_cos7-1a,golgi_mem,[2.0;2.0;2.0],[12.0;4404.0;8604.0],[1796;1500;2400]
247,jrc_cos7-1a,golgi_lum,[2.0;2.0;2.0],[12.0;4404.0;8604.0],[1796;1500;2400]
247,jrc_cos7-1a,np_in,[2.0;2.0;2.0],[12.0;4404.0;8604.0],[1796;1500;2400]
247,jrc_cos7-1a,perox_lum,[2.0;2.0;2.0],[12.0;4404.0;8604.0],[1796;1500;2400]
247,jrc_cos7-1a,lyso_lum,[2.0;2.0;2.0],[12.0;4404.0;8604.0],[1796;1500;2400]
247,jrc_cos7-1a,lyso_mem,[2.0;2.0;2.0],[12.0;4404.0;8604.0],[1796;1500;2400]
247,jrc_cos7-1a,np,[2.0;2.0;2.0],[12.0;4404.0;8604.0],[1796;1500;2400]
247,jrc_cos7-1a,perox,[2.0;2.0;2.0],[12.0;4404.0;8604.0],[1796;1500;2400]
247,jrc_cos7-1a,nucpl,[2.0;2.0;2.0],[12.0;4404.0;8604.0],[1796;1500;2400]
